album_track_number,track,duration,album,album_release_date,side_track_number,lead_vocals,side_label,writers,lyrics
1,Taxman,156,Revolver,1966-08-05,1,Harrison,A,Harrison,"One, two, three, four One, two (three, four) Let me tell you how it will be There's one for you, nineteen for me 'Cause I'm the taxman Yeah I'm the taxman Should five percent appear too small Be thankful I don't take it all 'Cause I'm the taxman Yeah I'm the taxman If you drive a car (car) I'll tax the street If you try to sit (sit) I'll tax your seat If you get too cold (cold) I'll tax the heat If you take a walk (walk) I'll tax your feat Taxman 'Cause I'm the taxman Yeah I'm the taxman Don't ask me what I want it for (ah ah Mr. Wilson) If you don't want to pay some more (ah ah Mr. Heath) 'Cause I'm the taxman Yeah I'm the taxman Now my advice for those who die (taxman) Declare the pennies on your eyes (taxman) 'Cause I'm the taxman Yeah I'm the taxman and you're working for no one but me Taxman"
2,Eleanor Rigby,131,Revolver,1966-08-05,2,McCartney,A,Lennon?“McCartney,"Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby picks up the rice in the church Where a wedding has been, lives in a dream Waits at the window, wearing the face That she keeps in a jar by the door, who is it for All the lonely people, where do they all come from All the lonely people, where do they all belong Father McKenzie, writing the words of a sermon That no one will hear, no one comes near Look at him working, darning his socks in the night When there's nobody there, what does he care All the lonely people, where do they all come from All the lonely people, where do they all belong Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby died in the church and was buried Along with her name, nobody came Father McKenzie, wiping the dirt from his hands As he walks from the grave, no one was saved All the lonely people, where do they all come from All the lonely people, where do they all belong"
3,I'm Only Sleeping,182,Revolver,1966-08-05,3,Lennon,A,Lennon?“McCartney,"When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float upstream (float upstream) Please don't wake me, no, don't shake me Leave me where I am, I'm only sleeping Everybody seems to think I'm lazy I don't mind I think they're crazy Running everywhere at such a speed Till they find there's no need (there's no need) Please don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time, lying there and staring at the ceiling Waiting for a sleepy feeling Please don't spoil my day, I'm miles away And after all I'm only sleeping Keeping an eye on the world going by my window Taking my time When I wake up early in the morning Lift my head, I'm still yawning When I'm in the middle of a dream Stay in bed, float upstream (float upstream) Please don't wake me, no, don't shake me Leave me where I am, I'm only sleeping"
4,Love You To,180,Revolver,1966-08-05,4,Harrison,A,Harrison,"Each day just goes so fast I turn around, it's past You don't get time to hang a sign on me Love me while you can Before I'm a dead old man A life-time is so short A new one can't be bought But what you've got means such a lot to me Make love all day long Make love singing songs Make love all day long Make love singing songs There's people standing round Who'll screw you in the ground They'll fill you in with all their sins you'll see I'll make love to you If you want me to"
5,"Here, There and Everywhere",149,Revolver,1966-08-05,5,McCartney,A,Lennon?“McCartney,"To lead a better life, I need my love to be here Here, making each day of the year Changing my life with a wave of her hand Nobody can deny that there's something there There, running my hands through her hair Both of us thinking how good it can be Someone is speaking but she doesn't know he's there I want her everywhere And if she's beside me I know I need never care But to love her is to meet her everywhere Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there I want her everywhere And if she's beside me I know I need never care But to love her is to meet her everywhere Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there To be there and everywhere Here, there and everywhere"
6,Yellow Submarine,160,Revolver,1966-08-05,6,Starr,A,Lennon?“McCartney,"In the town where I was born Lived a man who sailed to sea And he told us of his life In the land of submarines So we sailed on to the sun Till we found the sea of green And we lived beneath the waves In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine And our friends are all aboard Many more of them live next door And the band begins to play We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine As we live a life of ease Everyone of us has all we need Sky of blue and sea of green In our yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine We all live in a yellow submarine Yellow submarine, yellow submarine"
7,She Said She Said,159,Revolver,1966-08-05,7,Lennon,A,Lennon?“McCartney,"She said 'I know what it's like to be dead I know what it is to be sad' And she's making me feel like I've never been born I said 'who put all those things in your hair Things that make me feel that I'm mad And you're making me feel like I've never been born' She said 'you don't understand what I've said' I said 'no, no, no, you're wrong' When I was a boy everything was right, everything was right I said 'even though you know what you know I know that that I'm ready to leave 'Cause you're making me feel like I've never been born' She said 'you don't understand what I've said' I said 'no, no, no, you're wrong' When I was a boy everything was right, everything was right I said 'even though you know what you know I know that that I'm ready to leave 'Cause you're making me feel like I've never been born' She said (she said) 'I know what it's like to be dead (I know what it's like to be dead) I know what it is to be sad (I know what it is to be sad)'..."
8,Good Day Sunshine,128,Revolver,1966-08-05,1,McCartney,B,Lennon?“McCartney,"Good day sunshine, good day sunshine, good day sunshine I need to laugh and when the sun is out I've got something I can laugh about I feel good in a special way I'm in love and it's a sunny day Good day sunshine, good day sunshine, good day sunshine We take a walk, the sun is shining down Burns my feet as they touch the ground Good day sunshine, good day sunshine, good day sunshine Then we'd lie beneath the shady tree I love her and she's loving me She feels good, she knows she's looking fine I'm so proud to know that she is mine Good day sunshine, good day sunshine, good day sunshine Good day sunshine, good day sunshine, good day sunshine..."
9,And Your Bird Can Sing,122,Revolver,1966-08-05,2,Lennon,B,Lennon?“McCartney,"Tell me that you've got everything you want And your bird can sing But you don't get me You don't get me You say you've seen seven wonders And your bird is green But you can't see me You can't see me When your prized possessions Start to wear you down Look in my direction I'll be round, I'll be round When your bird is broken Will it bring you down You may be awoken I'll be round, I'll be round You tell me that you've heard every sound there is And your bird can swing But you can't hear me You can't hear me"
10,For No One,123,Revolver,1966-08-05,3,McCartney,B,Lennon?“McCartney,"Your day breaks, your mind aches You find that all the words of kindness linger on When she no longer needs you She wakes up, she makes up She takes her time and doesn't feel she has to hurry She no longer needs you And in her eyes you see nothing No sign of love behind the tears cried for no one A love that should have lasted years You want her, you need her And yet you don't believe her when she says her love is dead You think she needs you And in her eyes you see nothing No sign of love behind the tears cried for no one A love that should have lasted years You stay home, she goes out She says that long ago she knew someone but now he's gone She doesn't need him Your day breaks, your mind aches There will be times when all the thing she said will fill your head You won't forget her And in her eyes you see nothing No sign of love behind the tears cried for no one A love that should have lasted years"
11,Doctor Robert,134,Revolver,1966-08-05,4,Lennon,B,Lennon?“McCartney,"Ring, my friend I said you'd call Doctor Robert Day or night he'll be there any time at all Doctor Robert Doctor Robert You're a new and better man He help you to understand He does everything he can Doctor Robert If you're down he'll pick you up Doctor Robert Take a drink from his special cup Doctor Robert Doctor Robert He's a man you must believe Helping anyone in need No one can succeed like Doctor Robert Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert My friend works for the National Health Doctor Robert Don't pay money just to see yourself Doctor Robert Doctor Robert You're a new and better man He help you to understand He does everything he can Doctor Robert Well, well, well, you're feeling fine Well, well, well, he'll make you Doctor Robert Ring, my friend I said you'd call Doctor Robert Doctor Robert"
12,I Want to Tell You,150,Revolver,1966-08-05,5,Harrison,B,Harrison,"I want to tell you, my head is filled with things to say When you're here all those words they seem to slip away When I get near you the games begin to drag me down It's alright, I'll make you maybe next time around But if I seem to act unkind It's only me, it's not my mind That is confusing things I want to tell you, I feel hung up and I don't know why I don't mind, I could wait for ever, I've got time Sometimes I wish I knew you well Then I could speak my mind and tell you Maybe you'd understand I want to tell you, I feel hung up and I don't know why I don't mind, I could wait for ever, I've got time I've got time, I've got time"
13,Got to Get You into My Life,151,Revolver,1966-08-05,6,McCartney,B,Lennon?“McCartney,"I was alone, I took a ride I didn't know what I would find there Another road where maybe I could see another kind of mind there Ooo, then I suddenly see you Ooo, did I tell you I need you Every single day of my life You didn't run, you didn't hide And had you gone, you knew in time We'd meet again for I had told you Ooo, you were meant to be near me Ooo, and I want you to hear me Say we'll be together every day Got to get you into my life What can I do, what can I be When I'm with you I want to stay there If I'm true I'll never leave And if I do I know the way there Ooo, then I suddenly see you Ooo, did I tell you I need you Every single day of my life Got to get you into my life I was alone, I took a ride I didn't know what I would find there Another road where maybe I could see another kind of mind there Ooo, then I suddenly see you Ooo, did I tell you I need you Every single day"
14,Tomorrow Never Knows,180,Revolver,1966-08-05,7,Lennon,B,Lennon?“McCartney,"Turn off your mind, relax and flow downstream It is not dying, it is not dying Lay down all thoughts, surrender to the void It is shining, it is shining That you may see the meaning of within It is being, it is being That love is all and love is everyone It is knowing, it is knowing That ignorance and haste may mourn the dead It is believing, it is believing But listen to the colour of your dreams It is not living, it is not living Or play the game 'Existence' to the end Of the beginning, of the beginning..."
